id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
39,TCK-UXJ52ZQ2,Critical,Closed,Software,Issue related to Security,Detailed ticket description wfveALjXWMzPcIZUvJLF,2024-03-23,,Technician A,2025-12-10 13:49:04
40,TCK-NZ1R6MFY,High,In Progress,Security,Issue related to Software,Detailed ticket description dClKVbYaxHdhYCRWCxZD,2023-07-09,2023-07-30,Unassigned,2025-12-10 13:49:04
41,TCK-RXSYX2ID,Low,In Progress,Hardware,Issue related to Hardware,Detailed ticket description UrKcGhyGWuXsWdzYNVbq,2023-09-11,2023-10-01,Admin,2025-12-10 13:49:04
42,TCK-YW9A2WBM,Low,Open,Access Request,Issue related to Other,Detailed ticket description xyLvdbDVGHbshdchNyPb,2023-05-03,2023-05-06,Admin,2025-12-10 13:49:04
43,TCK-XC2P3T2U,Low,Closed,Network,Issue related to Other,Detailed ticket description uSLrvqTnAfMrSbihyTDC,2024-04-23,,IT Support 1,2025-12-10 13:49:04
44,TCK-DU2O6RCN,Critical,On Hold,Hardware,Issue related to Software,Detailed ticket description CPxwQZJpJXqyjkXOWVcq,2023-07-10,2023-08-09,Technician B,2025-12-10 13:49:04
45,TCK-YLAPZEXO,Low,Closed,Access Request,Issue related to Software,Detailed ticket description uwacIgoTjccqhOLpxIpm,2024-04-21,,Technician A,2025-12-10 13:49:04
46,TCK-V2VO18DW,Low,In Progress,Software,Issue related to Network,Detailed ticket description lZitUnguefDpMorJXEWy,2023-04-04,2023-04-25,IT Support 2,2025-12-10 13:49:04
47,TCK-MM9H3DI9,Low,Resolved,Other,Issue related to Security,Detailed ticket description CneFUTfGshLNLKXiohtL,2023-10-16,2023-11-03,Admin,2025-12-10 13:49:04
48,TCK-KAWMLCBM,Medium,Resolved,Network,Issue related to Other,Detailed ticket description JtYkgXcwdhaxcbgWhDOR,2023-07-18,2023-08-04,Technician B,2025-12-10 13:49:04
49,TCK-4D0SDGCL,Low,Open,Other,Issue related to Access Request,Detailed ticket description ahROHNgKolCiCAGvgtXp,2023-09-25,,IT Support 2,2025-12-10 13:49:04
50,TCK-9NXA3BYD,Medium,Resolved,Network,Issue related to Security,Detailed ticket description rbUbEMxAHSIHWTvTKbxB,2023-02-05,2023-02-27,Technician A,2025-12-10 13:49:04
51,TCK-TU6S2EKA,High,In Progress,Hardware,Issue related to Software,Detailed ticket description mPOdFEkFehUGJXqQAIht,2024-08-11,2024-09-02,Technician B,2025-12-10 13:49:04
52,TCK-N0WFKS2B,Low,Resolved,Network,Issue related to Software,Detailed ticket description EWkigMxWTIHHVWTGIfKo,2024-10-17,2024-11-02,Admin,2025-12-10 13:49:04
53,TCK-KXA2I09U,Low,On Hold,Access Request,Issue related to Security,Detailed ticket description KwVTZwIXprSJjerXXeuI,2023-01-05,2023-01-08,Unassigned,2025-12-10 13:49:04
54,TCK-Z1P3EXEM,Critical,Open,Software,Issue related to Hardware,Detailed ticket description AEaPlMIjhtSUnXMzxhxE,2023-01-24,2023-02-22,Unassigned,2025-12-10 13:49:04
55,TCK-YDIQBKYI,Critical,In Progress,Network,Issue related to Hardware,Detailed ticket description IXmLSCGZWnJmpITHrlQW,2024-10-09,,Technician A,2025-12-10 13:49:04
56,TCK-S6CRWQRJ,High,Resolved,Access Request,Issue related to Other,Detailed ticket description fOXwInbStQCVlCdwhXxH,2023-03-21,2023-04-12,IT Support 2,2025-12-10 13:49:04
57,TCK-YNZG2LB3,Critical,Closed,Network,Issue related to Software,Detailed ticket description nqPjeCaZnoKaVNgqbsKs,2023-04-04,2023-04-07,Unassigned,2025-12-10 13:49:04
58,TCK-WIGWLUI9,Low,Closed,Security,Issue related to Security,Detailed ticket description HKAvJJgsIKXoBQdOvxIW,2023-03-02,,Technician B,2025-12-10 13:49:04
59,TCK-RZL2GHCD,Medium,In Progress,Software,Issue related to Security,Detailed ticket description tMpQCeYUYSNIaLwyxwyK,2023-02-12,,Technician A,2025-12-10 13:49:04
60,TCK-N15MYDOM,Critical,Resolved,Security,Issue related to Other,Detailed ticket description oGreTsycjFLdlsyDmSjH,2023-11-28,2023-11-29,Admin,2025-12-10 13:49:04
61,TCK-R08RO60R,Medium,Resolved,Access Request,Issue related to Security,Detailed ticket description dhGeijbQWEJHtZPBFjgN,2024-04-22,2024-05-15,Technician B,2025-12-10 13:49:04
62,TCK-DUTZTJFL,Medium,Closed,Security,Issue related to Access Request,Detailed ticket description yrzdUYzxrJRdBpbffIRn,2024-10-01,,IT Support 1,2025-12-10 13:49:04
63,TCK-K1RENSQI,Medium,Closed,Access Request,Issue related to Network,Detailed ticket description vZCwNHmmFksBYeRZNBEo,2023-08-05,2023-08-19,IT Support 2,2025-12-10 13:49:04
64,TCK-UDZ8W4TS,Critical,On Hold,Hardware,Issue related to Security,Detailed ticket description gyhgEHujWjPJDsSasnaa,2024-06-28,2024-07-10,IT Support 2,2025-12-10 13:49:04
65,TCK-KC0PJA00,Medium,Open,Network,Issue related to Network,Detailed ticket description ZljkndUlqVQhSNZDhBDJ,2023-06-13,2023-06-25,IT Support 1,2025-12-10 13:49:04
66,TCK-6NL0QNR7,High,In Progress,Security,Issue related to Software,Detailed ticket description RtvcSeUdVeYkBgJxmCRt,2024-11-19,2024-12-13,Admin,2025-12-10 13:49:04
67,TCK-FUGKKTTX,Critical,Open,Access Request,Issue related to Network,Detailed ticket description cAdrgETaqKYoKtXtZbke,2024-07-20,2024-08-09,IT Support 1,2025-12-10 13:49:04
68,TCK-3BL1T8P2,Low,Open,Hardware,Issue related to Other,Detailed ticket description SbEGYCvIWgJMoInxBJfL,2024-08-08,,Technician A,2025-12-10 13:49:04
69,TCK-CC1ZFYNZ,Medium,Resolved,Security,Issue related to Other,Detailed ticket description lHLTKSFlfCAqNHJtPhtM,2024-08-02,2024-08-27,Unassigned,2025-12-10 13:49:04
70,TCK-ENEPMM61,High,Open,Other,Issue related to Software,Detailed ticket description zkVxihObHkcetRnmWxAH,2023-09-27,2023-10-20,Admin,2025-12-10 13:49:04
71,TCK-WWMPM53R,Low,Closed,Software,Issue related to Hardware,Detailed ticket description EcikCcAUyPBiWgFPSrMZ,2024-06-22,,Admin,2025-12-10 13:49:04
72,TCK-4KPFYWNH,Critical,In Progress,Access Request,Issue related to Security,Detailed ticket description RzCtmjcfrULrMYoaQDtI,2024-09-30,2024-10-06,Admin,2025-12-10 13:49:04
73,TCK-M3H8MEGI,High,Resolved,Network,Issue related to Network,Detailed ticket description jLnzJDXztErxjgdCsMkc,2023-03-24,2023-04-21,Technician B,2025-12-10 13:49:04
74,TCK-CKLJ76PB,Low,Open,Access Request,Issue related to Software,Detailed ticket description IAbrxGpcBpuVCjHnIhiF,2024-10-09,2024-10-29,Technician B,2025-12-10 13:49:04
75,TCK-3OA0Y80J,Critical,Open,Software,Issue related to Hardware,Detailed ticket description svsjYhjITktaUTxEtAlA,2023-01-08,2023-01-25,Technician B,2025-12-10 13:49:04
76,TCK-RRN9OIBQ,Critical,Resolved,Software,Issue related to Access Request,Detailed ticket description tEBmQYGzPOsdsBGEujnm,2024-04-05,2024-04-21,Admin,2025-12-10 13:49:04
77,TCK-7BAFMOR9,High,Resolved,Security,Issue related to Other,Detailed ticket description zqwSlnzWNiGtYXjErYVo,2023-10-25,,IT Support 1,2025-12-10 13:49:04
78,TCK-9A5BRLAF,Critical,On Hold,Access Request,Issue related to Software,Detailed ticket description EIVqcGWgEiCPXLimWTwd,2024-07-08,,Technician A,2025-12-10 13:49:04
79,TCK-3HAV8XEI,Medium,Resolved,Security,Issue related to Hardware,Detailed ticket description AqUvHnvZbuOWujwWieGb,2023-03-15,2023-03-16,Technician A,2025-12-10 13:49:04
80,TCK-1M0B6WLI,Critical,In Progress,Hardware,Issue related to Access Request,Detailed ticket description joawwFBJdHPUhgBfBjOm,2024-10-20,2024-11-16,IT Support 1,2025-12-10 13:49:04
81,TCK-GABW8P7O,Critical,Resolved,Other,Issue related to Other,Detailed ticket description QknOmgIjrqckJCuontzr,2024-10-11,2024-11-05,Technician B,2025-12-10 13:49:04
82,TCK-EVJOGIIM,Medium,Resolved,Network,Issue related to Network,Detailed ticket description nAQCijilLrbhWsmLPgyI,2023-02-11,2023-03-12,Technician A,2025-12-10 13:49:04
83,TCK-VSJ6TT7D,Low,In Progress,Access Request,Issue related to Other,Detailed ticket description DYUTdSyKKxhpVMsIEdye,2024-01-14,2024-01-15,IT Support 2,2025-12-10 13:49:04
84,TCK-02NN1SMD,Critical,Closed,Network,Issue related to Software,Detailed ticket description CYtxZrwtfnUhwWcBYwuY,2024-02-17,,Technician B,2025-12-10 13:49:04
85,TCK-6GR3DM9E,Critical,Resolved,Hardware,Issue related to Software,Detailed ticket description XGZtNKudpNIqViZIIQes,2023-09-26,2023-10-22,Unassigned,2025-12-10 13:49:04
86,TCK-1N6YLRQF,Low,Closed,Network,Issue related to Software,Detailed ticket description xnkHghKPbxYDErBwoUox,2024-09-25,2024-10-03,Unassigned,2025-12-10 13:49:04
87,TCK-X63OV89K,High,In Progress,Access Request,Issue related to Other,Detailed ticket description mIboXCCcztJiJpybktUB,2023-11-01,2023-11-25,Admin,2025-12-10 13:49:04
88,TCK-BCWZ81M3,Medium,Open,Hardware,Issue related to Hardware,Detailed ticket description FOvIdOiYAPmNcXGxXMiU,2024-05-09,,Technician A,2025-12-10 13:49:04
89,TCK-ZF9TADNL,High,Closed,Access Request,Issue related to Security,Detailed ticket description yjMYyebvMBilGfYLHLlt,2024-06-13,,Unassigned,2025-12-10 13:49:04
90,TCK-B3RO6013,High,In Progress,Software,Issue related to Network,Detailed ticket description WAOMhGygsBMFtpocXtRS,2023-05-27,2023-06-14,Unassigned,2025-12-10 13:49:04
91,TCK-LSLI18OP,Medium,Closed,Security,Issue related to Other,Detailed ticket description RGHqcSgNlNOPyiFlZSjZ,2024-08-01,2024-08-11,Technician B,2025-12-10 13:49:04
92,TCK-ZNUUO7JM,Low,On Hold,Hardware,Issue related to Hardware,Detailed ticket description qPxxvDBHbuuEVGiTGgUc,2024-07-27,,Technician B,2025-12-10 13:49:04
93,TCK-3WKYIJJM,Low,Closed,Other,Issue related to Software,Detailed ticket description TZdONiwPGIQOkByKlbID,2023-08-21,2023-09-13,IT Support 2,2025-12-10 13:49:04
94,TCK-S53RXFE1,Low,On Hold,Hardware,Issue related to Access Request,Detailed ticket description MbihkiIGZVTtzNejZMTW,2024-02-02,,Technician B,2025-12-10 13:49:04
95,TCK-XRMF7K27,High,Closed,Network,Issue related to Access Request,Detailed ticket description zWDPHsuzfLkoeRCBaEuq,2023-10-03,2023-10-19,Technician B,2025-12-10 13:49:04
96,TCK-HIQGFFZC,Critical,Closed,Security,Issue related to Software,Detailed ticket description TxzFfuWEaZaqCugBezAq,2023-07-28,2023-08-13,Unassigned,2025-12-10 13:49:04
97,TCK-CCPHRM1Q,Low,In Progress,Software,Issue related to Security,Detailed ticket description YQsiKIUHoLagTjWMcqpS,2024-05-23,2024-05-26,IT Support 2,2025-12-10 13:49:04
98,TCK-GIF4G9AF,Medium,Resolved,Access Request,Issue related to Access Request,Detailed ticket description UMwIGMbUbvadZVTynYxf,2024-02-21,2024-03-05,Unassigned,2025-12-10 13:49:04
99,TCK-426PJ48D,Medium,On Hold,Hardware,Issue related to Other,Detailed ticket description lasiQtDfvVxACYhjFKgd,2023-08-21,2023-09-03,Technician A,2025-12-10 13:49:04
100,TCK-L5Q9K14J,Critical,In Progress,Software,Issue related to Other,Detailed ticket description qFAVyvZihhNVgVBwldDI,2024-10-29,2024-10-30,Unassigned,2025-12-10 13:49:04
101,TCK-ER5GCUGF,Medium,In Progress,Software,Issue related to Hardware,Detailed ticket description eibuCEgYdBLyIfnBIrXk,2023-08-23,2023-09-21,IT Support 1,2025-12-10 13:49:04
102,TCK-3EIQ64OZ,Medium,On Hold,Network,Issue related to Security,Detailed ticket description cQCjTdpSkJltQwwPRvHR,2023-11-03,2023-11-27,Technician B,2025-12-10 13:49:04
103,TCK-HTVJEY6M,Critical,In Progress,Other,Issue related to Hardware,Detailed ticket description dtavaITiFAPzbbeuFSzE,2023-04-30,,IT Support 2,2025-12-10 13:49:04
104,TCK-B4ONEEVP,Medium,Closed,Hardware,Issue related to Other,Detailed ticket description VoCAHXgGuaERxWpDuQPS,2023-12-17,,Admin,2025-12-10 13:49:04
105,TCK-PHRQWOAS,High,In Progress,Security,Issue related to Software,Detailed ticket description uUBnZCOwVtWeGycESpee,2023-12-31,2024-01-03,Technician A,2025-12-10 13:49:04
106,TCK-3LKE9WXX,Critical,Open,Network,Issue related to Hardware,Detailed ticket description rwqxfCHuhZgTWxDMbYOv,2023-11-16,2023-12-14,Unassigned,2025-12-10 13:49:04
107,TCK-NTVBWBSG,Medium,On Hold,Other,Issue related to Network,Detailed ticket description yZcAQKNnBgQMMYGiGNIO,2024-02-21,2024-03-21,Technician A,2025-12-10 13:49:04
108,TCK-RJ8U65TS,Low,On Hold,Network,Issue related to Security,Detailed ticket description xldSWYwEIJIDkunCagnb,2023-11-23,2023-12-11,Technician B,2025-12-10 13:49:04
109,TCK-K18MN9A7,High,Open,Network,Issue related to Security,Detailed ticket description gEmrMXWVQBaCEfzgeNbJ,2024-03-23,2024-04-03,Unassigned,2025-12-10 13:49:04
110,TCK-Z2J1AY4P,Medium,Closed,Security,Issue related to Software,Detailed ticket description HvYKpfFDXEfPdTEwjOSi,2024-06-02,2024-06-24,Admin,2025-12-10 13:49:04
111,TCK-F1ACIZYD,Medium,In Progress,Software,Issue related to Software,Detailed ticket description OYcvZtrbnBiWPolVgLII,2023-08-20,,IT Support 1,2025-12-10 13:49:04
112,TCK-KD5PLSZ9,Critical,On Hold,Access Request,Issue related to Security,Detailed ticket description jwtiJZWvaoSuuJCXtIwR,2023-03-22,2023-03-31,Admin,2025-12-10 13:49:04
113,TCK-M90CARDU,Critical,On Hold,Access Request,Issue related to Software,Detailed ticket description kntUZvsMaNGohVoUnalz,2023-07-17,2023-08-16,IT Support 1,2025-12-10 13:49:04
114,TCK-5TXDUIQL,Low,Resolved,Security,Issue related to Security,Detailed ticket description fnFLkGFfcFcjuJNRDAbf,2023-08-16,2023-08-29,Technician A,2025-12-10 13:49:04
115,TCK-2NSTXTXT,Low,On Hold,Software,Issue related to Network,Detailed ticket description tlLfGTNKTzjTXmTMiIYj,2023-10-02,2023-10-28,Technician B,2025-12-10 13:49:04
116,TCK-2OF4XIU8,Critical,On Hold,Hardware,Issue related to Software,Detailed ticket description QEkbcUxynpLJlruwuzNJ,2024-08-31,2024-09-09,IT Support 1,2025-12-10 13:49:04
117,TCK-2D5DG8PC,Low,Open,Other,Issue related to Hardware,Detailed ticket description aYQnWOclnoWXHweByoGA,2024-04-06,2024-04-08,IT Support 2,2025-12-10 13:49:04
118,TCK-RM653ZZL,Low,Open,Access Request,Issue related to Network,Detailed ticket description GUNpoHgnXCACmIsNiiTC,2024-07-29,2024-08-25,Unassigned,2025-12-10 13:49:04
119,TCK-ZLMLDVF1,Low,Open,Access Request,Issue related to Hardware,Detailed ticket description DbLOITZVdlCcLcMxGUih,2024-04-23,2024-05-20,IT Support 1,2025-12-10 13:49:04
120,TCK-CLZCJ6W4,Medium,Open,Access Request,Issue related to Access Request,Detailed ticket description yvaPxblhFyvhMzMPshMV,2024-04-16,,IT Support 1,2025-12-10 13:49:04
121,TCK-P0E8NNY0,Low,In Progress,Access Request,Issue related to Security,Detailed ticket description tGYvIfKfXjtIkCSiMfNs,2023-12-15,2024-01-10,Technician A,2025-12-10 13:49:04
122,TCK-79X28PKT,Critical,Open,Network,Issue related to Software,Detailed ticket description AucUnlDGbqzfefoomHeZ,2024-04-12,,Technician A,2025-12-10 13:49:04
123,TCK-6EL4BLUT,Medium,Open,Security,Issue related to Access Request,Detailed ticket description lqOJTdEoBPgfYuljQYYa,2024-08-06,2024-08-14,IT Support 2,2025-12-10 13:49:04
124,TCK-RVBZDSU0,Low,In Progress,Security,Issue related to Network,Detailed ticket description rKCnmlkeYrSYxDaHNFDG,2023-06-16,2023-07-07,IT Support 1,2025-12-10 13:49:04
125,TCK-H6F67W7V,Low,Closed,Access Request,Issue related to Access Request,Detailed ticket description ggjajpIvCcdKbTCNxXxp,2024-05-23,2024-06-18,Technician B,2025-12-10 13:49:04
126,TCK-9GNNVZUA,High,On Hold,Security,Issue related to Network,Detailed ticket description tpXJftsQKuyNLRySvRnd,2024-03-15,2024-03-18,IT Support 2,2025-12-10 13:49:04
127,TCK-1ZOULX1P,Medium,On Hold,Network,Issue related to Other,Detailed ticket description ZhWgaBsEADjxfzKgeGEB,2024-01-08,2024-02-04,Technician B,2025-12-10 13:49:04
128,TCK-RJ0C9IJX,Medium,On Hold,Access Request,Issue related to Hardware,Detailed ticket description tlcmrFxYygUUEeVCyJAn,2023-06-03,2023-06-14,IT Support 2,2025-12-10 13:49:04
129,TCK-EFD2L1KZ,Critical,Resolved,Security,Issue related to Software,Detailed ticket description VHZWkHYvUWIaxyyOqeHD,2023-01-20,2023-02-17,Unassigned,2025-12-10 13:49:04
130,TCK-6WIU038P,Medium,In Progress,Hardware,Issue related to Other,Detailed ticket description GDMFQbWKwcfixFWkcDAo,2024-01-14,2024-01-18,IT Support 2,2025-12-10 13:49:04
131,TCK-P3ITTIBL,High,In Progress,Other,Issue related to Software,Detailed ticket description QSZmhBDEqKHyBNSDmkeN,2024-11-05,2024-11-23,Admin,2025-12-10 13:49:04
132,TCK-IW06K3H9,Critical,Open,Security,Issue related to Access Request,Detailed ticket description kduNysxLSyQTPxXLVAhM,2024-03-09,,Admin,2025-12-10 13:49:04
133,TCK-60DKNOG4,Critical,On Hold,Network,Issue related to Hardware,Detailed ticket description oSQwefsNVsUTMfqkKIVy,2024-11-09,,IT Support 2,2025-12-10 13:49:04
134,TCK-N4UOW19W,Medium,Open,Security,Issue related to Network,Detailed ticket description CuYCzreYTyAZxyVSroeQ,2023-01-12,2023-02-03,IT Support 1,2025-12-10 13:49:04
135,TCK-UKCZG2GQ,Critical,Closed,Software,Issue related to Access Request,Detailed ticket description ssqYIyNZgpTatiiYzenG,2024-11-19,2024-12-09,Unassigned,2025-12-10 13:49:04
136,TCK-U1VX85WX,Low,On Hold,Other,Issue related to Other,Detailed ticket description gOIVCuYYuiIFMnNYMloW,2024-11-21,2024-12-08,IT Support 2,2025-12-10 13:49:04
137,TCK-OUVYQ4EO,Medium,Open,Access Request,Issue related to Security,Detailed ticket description LPFXjVrthrAcclWFBEqc,2024-01-17,2024-02-13,IT Support 1,2025-12-10 13:49:04
138,TCK-H6N6MPP4,Medium,In Progress,Network,Issue related to Software,Detailed ticket description RuRwcQpQYgpptIPJMAcD,2024-11-22,2024-12-19,Admin,2025-12-10 13:49:04
139,TCK-Y1QJ6XFO,Low,In Progress,Software,Issue related to Network,Detailed ticket description xynLuFbCGKhEsYQKWhqt,2024-07-22,,IT Support 1,2025-12-10 13:49:04
140,TCK-Q2FAWC5V,Low,On Hold,Security,Issue related to Software,Detailed ticket description djPEWOvIFrJpiYeKhNPa,2024-07-14,2024-08-13,Unassigned,2025-12-10 13:49:04
141,TCK-46N4M5VC,High,Closed,Access Request,Issue related to Hardware,Detailed ticket description EespnWkqyjckFEQGxsBS,2023-11-29,2023-12-23,IT Support 1,2025-12-10 13:49:04
142,TCK-1Y221KQX,Medium,Resolved,Network,Issue related to Other,Detailed ticket description KjdPjEcDibTXBZbGLCHw,2024-09-28,2024-10-14,Unassigned,2025-12-10 13:49:04
143,TCK-218ER9BD,High,On Hold,Network,Issue related to Network,Detailed ticket description RSeCDZbzsOuORJKslYwT,2024-02-03,,Technician B,2025-12-10 13:49:04
144,TCK-2H3KI3AP,Medium,Open,Other,Issue related to Security,Detailed ticket description vBdcVLciLaLcznLpgFKs,2024-04-23,2024-05-13,IT Support 1,2025-12-10 13:49:04
145,TCK-BGPMM0AN,Critical,Resolved,Network,Issue related to Other,Detailed ticket description TtaehQMagzDVZqsHcxxB,2024-01-05,2024-01-08,IT Support 1,2025-12-10 13:49:04
146,TCK-D90MU3AF,Critical,On Hold,Software,Issue related to Security,Detailed ticket description vSbKtLlsrGIPvpaaxFnA,2024-04-27,2024-05-08,Unassigned,2025-12-10 13:49:04
147,TCK-Y0VTCH5T,Low,Resolved,Hardware,Issue related to Security,Detailed ticket description fppuKCAmEZSXBMHCEMpJ,2023-05-06,2023-06-04,IT Support 2,2025-12-10 13:49:04
148,TCK-1E24HIPR,Medium,Closed,Network,Issue related to Software,Detailed ticket description HImnosTeUDcUbDiPqWJc,2024-07-27,,Technician A,2025-12-10 13:49:04
